name,document
Ruy López (Spanish Game),"Begins with 1.e4 e5 2.Nf3 Nc6 3.Bb5. White pressures the c6 knight that defends Black's e5 pawn, aiming for long-term strategic pressure rather than immediate material gain. Key plans include castling early, building with d4, and using the bishop on b5/a4 to maintain tension."
Italian Game,"Begins with 1.e4 e5 2.Nf3 Nc6 3.Bc4. White targets the f7 square, the weakest point in Black's early position. The Giuoco Piano (4.c3 5.d4) builds a strong center, while the Evans Gambit (4.b4) sacrifices a pawn for rapid development and an attack."
Sicilian Defense,"Begins with 1.e4 c5. Black's most popular response to e4, fighting for the center asymmetrically. The c5 pawn controls d4 without opening the d-file for White, leading to rich unbalanced positions with winning chances for both sides."
Sicilian Najdorf,"Continues 1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6. The a6 move stops Nb5 and Bb5+, prepares b5 expansion, and keeps options open. Considered the most ambitious and theoretically rich variation of the Sicilian."
Sicilian Dragon,"Continues with 5...g6. Black fianchettoes the bishop to g7 for powerful long diagonal pressure. The Yugoslav Attack (6.Be3 Bg7 7.f3 0-0 8.Qd2) is White's most aggressive reply, leading to razor-sharp opposite-wing attacks."
Sicilian Scheveningen,"Black plays ...e6 in the Sicilian. Creates a solid and flexible pawn structure. White often launches a kingside attack with f4-f5 while Black counterplays on the queenside."
Sicilian Kan (Paulsen),"Continues 1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6. Very flexible — Black keeps options open for ...b5, ...Nf6, or ...d5. Avoids many sharp theoretical lines while maintaining counterplay."
Sicilian Sveshnikov,"Continues 1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5. Black aggressively pushes ...e5 despite the resulting backward d6 pawn and White's outpost on d5. Active piece play compensates for the structural weakness."
French Defense,"Begins with 1.e4 e6. Black prepares to challenge White's center with ...d5. Solid but slightly cramped. The light-squared bishop on c8 is often Black's problem piece, hemmed in by its own pawn on e6."
French Advance,"After 1.e4 e6 2.d4 d5 3.e5. White grabs space and restricts Black's pieces. Black attacks the pawn chain immediately with ...c5 and ...Nc6, creating a dynamic battle between White's space advantage and Black's counterplay."
French Winawer,"After 1.e4 e6 2.d4 d5 3.Nc3 Bb4. Black pins the knight immediately, leading to highly unbalanced positions. White gets the bishop pair and often attacks the kingside; Black gets active counterplay and structural pressure."
French Classical,"After 1.e4 e6 2.d4 d5 3.Nc3 Nf6. Black develops naturally and fights for the center. One of the most solid and respectable variations of the French."
Caro-Kann Defense,"Begins with 1.e4 c6. Similar to the French but avoids the bad bishop problem entirely. The c6 pawn prepares ...d5. Black gets a very solid, reliable position that is difficult for White to break down."
Caro-Kann Classical,"After 1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4. Black develops the bishop actively to f5 or g4 before completing kingside development. Gives Black comfortable equality with well-placed pieces."
Caro-Kann Advance,"After 1.e4 c6 2.d4 d5 3.e5. White grabs space, Black attacks the chain with ...c5 and ...Bf5. Similar to the French Advance but Black's light-squared bishop is free."
Scandinavian Defense,"Begins with 1.e4 d5. Black immediately challenges White's central pawn. After 2.exd5, Black can recapture with the queen (classical) or knight (modern). Simple and direct, avoiding heavy theory."
Pirc Defense,"Begins with 1.e4 d6 2.d4 Nf6 3.Nc3 g6. Black allows White a big center then attacks it hypermodernly with the fianchettoed bishop on g7. Requires precise counterattacking play from Black."
Modern Defense,"Begins with 1.e4 g6. Similar to the Pirc but even more flexible — Black delays committing the knight to f6. Allows White a large center that Black will later undermine."
Alekhine's Defense,"Begins with 1.e4 Nf6. Black immediately provokes White's pawns forward, intending to attack the overextended pawn chain later. After 2.e5 Nd5 3.d4 d6, Black targets White's advanced pawns."
Queen's Gambit,"Begins with 1.d4 d5 2.c4. White offers a pawn to gain central control. Not a true gambit — White almost always recovers the pawn. One of the most classical and respected openings in chess."
Queen's Gambit Declined (QGD),"After 1.d4 d5 2.c4 e6. Black solidly defends d5 at the cost of a slightly passive bishop on c8. Classical and reliable, leading to rich strategic battles."
Queen's Gambit Accepted (QGA),"After 1.d4 d5 2.c4 dxc4. Black accepts the pawn, conceding the center temporarily for active piece play. White gets a strong center; Black gets fast development and counterplay."
Slav Defense,"After 1.d4 d5 2.c4 c6. Black supports d5 with the c-pawn rather than e6, keeping the light-squared bishop free. Very solid and popular at the highest levels."
Semi-Slav Defense,"After 1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.Nf3 e6. Combines the solidity of the Slav with the flexibility of the QGD. The Meran and Anti-Meran variations lead to extremely sharp and deeply analyzed positions."
King's Indian Defense,"Arises after 1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6. Black allows White a large pawn center then attacks it with ...e5 or ...c5. The fianchettoed bishop on g7 is Black's most powerful piece. Very sharp and double-edged."
Grünfeld Defense,"Arises after 1.d4 Nf6 2.c4 g6 3.Nc3 d5. Black gives up the center immediately then attacks it with pieces. The fianchettoed bishop on g7 targets White's d4 pawn directly. Deeply theoretical and popular at the top level."
Nimzo-Indian Defense,"Begins with 1.d4 Nf6 2.c4 e6 3.Nc3 Bb4. Black immediately pins the c3 knight, preventing e4 and creating structural pressure. One of Black's most reliable and respected responses to 1.d4."
Queen's Indian Defense,"Arises after 1.d4 Nf6 2.c4 e6 3.Nf3 b6. Black fianchettoes the queen's bishop to b7, controlling e4 from a distance. Solid and positional, avoiding the direct confrontation of the Nimzo-Indian."
Bogo-Indian Defense,"Arises after 1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+. Black checks on b4, forcing a response before White can play Nc3. More flexible than the Nimzo-Indian, avoiding some sharp theoretical lines."
Catalan Opening,"Begins with 1.d4 Nf6 2.c4 e6 3.g3. White fianchettoes the bishop to g2, combining Queen's Gambit pressure on d5 with long diagonal control. Very popular at the top level."
Dutch Defense,"Begins with 1.d4 f5. Black immediately fights for e4. The Stonewall (pawns on d5, e6, f5) is solid but passive; the Leningrad (g6, Bg7) is dynamic; the Classical (e6, Nf6, Be7) is flexible."
Dutch Leningrad,"After 1.d4 f5 2.g3 Nf6 3.Bg2 g6. Black fianchettoes on g7 for long diagonal pressure combined with the f5 pawn's control of e4. Dynamic and fighting."
Dutch Stonewall,"After 1.d4 f5 2.Nf3 Nf6 3.g3 e6 4.Bg2 d5. Creates an extremely solid pawn structure with pawns on c6, d5, e6, and f5. Very hard to break but the light-squared bishop on c8 can become passive."
Benoni Defense,"Arises after 1.d4 Nf6 2.c4 c5 3.d5. Black creates an asymmetrical structure with a queenside pawn majority. Plans to expand with ...b5 and attack White's d5 pawn while White uses central space for a kingside attack."
Modern Benoni,"After 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6. Black fianchettoes the bishop to g7, combining queenside pressure with long diagonal control. Very sharp and highly theoretical."
Benko Gambit,"After 1.d4 Nf6 2.c4 c5 3.d5 b5. Black offers a pawn to get long-term queenside pressure and open files. In exchange Black gets half-open a and b-files and lasting initiative against White's queenside."
London System,"Begins with 1.d4 followed by 2.Nf3 and 3.Bf4. Solid and reliable for White regardless of Black's setup. Very popular at club level due to minimal theory required."
Torre Attack,"Begins with 1.d4 Nf6 2.Nf3 e6 3.Bg5. White develops the bishop actively to g5, putting pressure on Black's knight. A solid low-theory system for White."
Trompowsky Attack,"Begins with 1.d4 Nf6 2.Bg5. White immediately pins the knight, disrupting Black's normal development. Can lead to sharp unbalanced positions and is a popular surprise weapon."
English Opening,"Begins with 1.c4. White controls d5 hypermodernly. Extremely flexible — often transposes into Queen's Gambit, King's Indian, or other structures."
English Symmetrical,"After 1.c4 c5. Both sides mirror each other initially. Eventually one side must break the symmetry, leading to complex strategic battles."
Reti Opening,"Begins with 1.Nf3. White takes a hypermodern approach, delaying any pawn in the center. Often continues with c4, g3, and Bg2. Very flexible and can transpose into many other openings."
King's Indian Attack,"White plays 1.Nf3, 2.g3, 3.Bg2, 4.0-0, 5.d3, and 6.Nbd2 regardless of Black's setup. A solid system that avoids early theoretical confrontation. White builds slowly and launches a kingside attack when ready."
Bird's Opening,"Begins with 1.f4. White controls e5 and prepares a kingside setup. Can lead to the From's Gambit (1...e5) which gives Black sharp attacking chances."
King's Gambit,"Begins with 1.e4 e5 2.f4. White sacrifices a pawn to open the f-file and gain rapid development. One of the oldest openings in chess, leading to sharp tactical positions."
Vienna Game,"Begins with 1.e4 e5 2.Nc3. White develops the knight before pushing f4 in a slower version of the King's Gambit setup. Can transpose into the Vienna Gambit (3.f4) or take a more positional direction."
Petrov's Defense (Russian Game),"Begins with 1.e4 e5 2.Nf3 Nf6. Black mirrors White's knight move, counterattacking e4 rather than defending e5. Very solid and drawish at the top level."
Philidor Defense,"Begins with 1.e4 e5 2.Nf3 d6. Black supports the e5 pawn with the d-pawn, taking a solid but passive approach. The Hanham Variation (2...d6 3.d4 Nd7) is the modern interpretation."
Four Knights Game,"Begins with 1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6. Both sides develop knights symmetrically. The Spanish Four Knights (4.Bb5) and Italian Four Knights (4.Bc4) are the main continuations."
Budapest Gambit,"After 1.d4 Nf6 2.c4 e5. Black immediately sacrifices a pawn to get active piece play and attack White's center. A surprise weapon that can be very effective against unprepared opponents."
Nimzowitsch Defense,"Begins with 1.e4 Nc6. Black develops a knight to c6 without playing e5 or c5. An unusual hypermodern choice that avoids mainstream theory."
Ponziani Opening,"Begins with 1.e4 e5 2.Nf3 Nc6 3.c3. White prepares d4 immediately, aiming for a strong pawn center. An old and somewhat rare opening that can lead to sharp positions."
Owen's Defense,"Begins with 1.e4 b6. Black prepares to fianchetto the queen's bishop to b7, fighting for the center from a distance. An offbeat choice rarely seen at the top level."
Nimzo-Larsen Attack,"Begins with 1.b3. White fianchettoes the queen's bishop to b2 immediately, fighting for the center from a distance. A flexible hypermodern system associated with grandmaster Bent Larsen."
Sokolsky Opening (Polish Opening),"Begins with 1.b4. White immediately advances the b-pawn to gain queenside space and prepare Bb2. An aggressive and unusual choice that can lead to very unorthodox positions."
